tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 3280: loss 3.6265, time 2887.07ms, mfu 24.60%
iter 3290: loss 3.5402, time 2577.36ms, mfu 24.68%
iter 3300: loss 3.5932, time 2579.67ms, mfu 24.76%
iter 3310: loss 3.7528, time 2665.20ms, mfu 24.75%
iter 3320: loss 3.3259, time 2580.14ms, mfu 24.82%
iter 3330: loss 3.3901, time 2592.94ms, mfu 24.87%
iter 3340: loss 3.6314, time 2651.00ms, mfu 24.86%
iter 3350: loss 3.3899, time 2584.14ms, mfu 24.91%
iter 3360: loss 3.5456, time 2593.83ms, mfu 24.95%
iter 3370: loss 3.6410, time 2578.96ms, mfu 25.00%
iter 3380: loss 3.5550, time 2581.04ms, mfu 25.04%
iter 3390: loss 3.3614, time 2676.75ms, mfu 24.99%
iter 3400: loss 3.1873, time 2616.91ms, mfu 25.00%
iter 3410: loss 3.5893, time 2584.11ms, mfu 25.04%
iter 3420: loss 3.5407, time 2666.92ms, mfu 25.00%
iter 3430: loss 3.5030, time 2591.82ms, mfu 25.03%
iter 3440: loss 3.4198, time 2577.92ms, mfu 25.07%
iter 3450: loss 3.3517, time 2585.88ms, mfu 25.10%
iter 3460: loss 3.5708, time 2741.01ms, mfu 24.99%
iter 3470: loss 3.4902, time 2579.97ms, mfu 25.03%
iter 3480: loss 3.2948, time 2599.78ms, mfu 25.06%
iter 3490: loss 3.4920, time 2572.91ms, mfu 25.10%
iter 3500: loss 3.7394, time 2578.51ms, mfu 25.14%
iter 3510: loss 3.3660, time 2576.17ms, mfu 25.17%
iter 3520: loss 3.5981, time 2657.24ms, mfu 25.12%
iter 3530: loss 3.6231, time 2580.78ms, mfu 25.16%
iter 3540: loss 3.4170, time 2579.36ms, mfu 25.18%
iter 3550: loss 3.5953, time 2662.00ms, mfu 25.13%
iter 3560: loss 3.5513, time 2758.41ms, mfu 25.00%
iter 3570: loss 3.4137, time 2950.34ms, mfu 24.72%
iter 3580: loss 3.4753, time 2704.64ms, mfu 24.68%
iter 3590: loss 3.2726, time 2582.16ms, mfu 24.75%
iter 3600: loss 3.6709, time 2606.59ms, mfu 24.80%
iter 3610: loss 3.2972, time 2634.78ms, mfu 24.81%
iter 3620: loss 3.5976, time 2593.65ms, mfu 24.86%
iter 3630: loss 3.4248, time 2943.72ms, mfu 24.60%
iter 3640: loss 3.6166, time 2718.65ms, mfu 24.56%
iter 3650: loss 3.0897, time 2584.70ms, mfu 24.64%
iter 3660: loss 3.5178, time 3157.00ms, mfu 24.25%
iter 3670: loss 3.3210, time 2616.54ms, mfu 24.34%
iter 3680: loss 3.3299, time 2748.47ms, mfu 24.29%
iter 3690: loss 3.3827, time 2578.91ms, mfu 24.41%
iter 3700: loss 3.5190, time 2889.63ms, mfu 24.24%
iter 3710: loss 3.4197, time 2799.23ms, mfu 24.16%
iter 3720: loss 3.4806, time 2594.04ms, mfu 24.27%
iter 3730: loss 3.5617, time 2591.84ms, mfu 24.38%
iter 3740: loss 3.2241, time 2672.99ms, mfu 24.40%
iter 3750: loss 3.4604, time 2578.93ms, mfu 24.50%
iter 3760: loss 3.3496, time 2678.77ms, mfu 24.50%
iter 3770: loss 3.7064, time 2772.51ms, mfu 24.42%
iter 3780: loss 3.5383, time 2649.35ms, mfu 24.46%
iter 3790: loss 3.3682, time 2586.71ms, mfu 24.55%
iter 3800: loss 3.6562, time 2744.44ms, mfu 24.48%
iter 3810: loss 3.4140, time 3024.60ms, mfu 24.21%
iter 3820: loss 3.7191, time 2579.90ms, mfu 24.33%
iter 3830: loss 3.4564, time 2598.56ms, mfu 24.42%
iter 3840: loss 3.5125, time 2575.39ms, mfu 24.53%
iter 3850: loss 3.3214, time 2613.23ms, mfu 24.59%
iter 3860: loss 3.6581, time 2624.87ms, mfu 24.63%
iter 3870: loss 3.6229, time 2583.22ms, mfu 24.71%
iter 3880: loss 3.4928, time 2677.38ms, mfu 24.69%
iter 3890: loss 3.5437, time 2805.54ms, mfu 24.56%
iter 3900: loss 3.3544, time 2752.84ms, mfu 24.49%
iter 3910: loss 3.4502, time 2692.66ms, mfu 24.48%
iter 3920: loss 3.5945, time 2651.35ms, mfu 24.51%
iter 3930: loss 3.6581, time 2579.48ms, mfu 24.60%
iter 3940: loss 3.5614, time 2680.75ms, mfu 24.59%
iter 3950: loss 3.7499, time 2633.10ms, mfu 24.62%
iter 3960: loss 3.3981, time 2579.20ms, mfu 24.70%
iter 3970: loss 3.6387, time 2577.92ms, mfu 24.78%
